message_id,sensitivity_type,risk,masked_text,recommended_action,reason
MSG_0005,private_address,medium,"Hi, My home address is ******.",ask_for_confirmation,Message contains a private home address.
MSG_0013,bank_or_payment_details,high,One more thing: My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0018,health_information,medium,One more thing: My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0047,authentication_token,high,Just checking—My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0053,personal_identification_number,high,One more thing: My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0074,authentication_token,high,Just checking—The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0078,health_information,medium,Can you help? My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0086,password,high,Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0095,password,high,Please note: Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0106,health_information,medium,Quick update: My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0117,authentication_token,high,Please note: The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0118,personal_identification_number,high,For today: My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0120,authentication_token,high,Please note: My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0126,private_contact_detail,medium,Can you help? You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0130,private_address,medium,Can you help? My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0137,authentication_token,high,My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0140,password,high,Can you help? Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0155,authentication_token,high,FYI: My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0172,private_address,medium,Important: My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0187,health_information,medium,Just checking—My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0191,private_contact_detail,medium,Quick update: You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0199,private_address,medium,Quick update: My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0229,personal_identification_number,high,Can you help? My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0233,authentication_token,high,One more thing: My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0243,one_time_password,high,Just checking—Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0254,bank_or_payment_details,high,For today: Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0257,bank_or_payment_details,high,FYI: Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0264,personal_identification_number,high,"Hi, My identification number is ******.",do_not_store,Message contains a personal identification number.
MSG_0267,bank_or_payment_details,high,Please note: Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0273,one_time_password,high,Quick update: Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0288,one_time_password,high,One more thing: Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0315,authentication_token,high,Important: My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0337,private_contact_detail,medium,You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0344,password,high,"Hi, Use password ****** to sign in to the test account.",do_not_store,Message contains an explicit login password.
MSG_0346,password,high,Quick update: Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0347,personal_identification_number,high,Just checking—My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0349,personal_identification_number,high,My identification number is ******.,do_not_store,Message contains a personal identification number.
