message_id,item_id,group_id,priority,reason,signals,confidence
MSG_0001,EVENT_001,GROUP_001,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0043,EVENT_001,GROUP_001,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0275,EVENT_001,GROUP_001,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0435,EVENT_001,GROUP_001,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0479,EVENT_001,GROUP_001,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0603,EVENT_001,GROUP_001,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0646,EVENT_001,GROUP_001,high,"The deadline is within 2 days; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_within_2_days; response_required; time_sensitive_meeting_category,0.73
MSG_0697,EVENT_001,GROUP_001,high,"The deadline is today; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_today; response_required; time_sensitive_meeting_category,0.73
MSG_0797,EVENT_001,GROUP_001,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0845,EVENT_001,GROUP_001,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0951,EVENT_001,GROUP_001,high,"The deadline is within 2 days; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_within_2_days; response_required; time_sensitive_meeting_category,0.73
MSG_0958,EVENT_001,GROUP_001,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0002,TASK_001,GROUP_002,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0058,TASK_001,GROUP_002,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0215,TASK_001,GROUP_002,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0481,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0487,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0569,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0578,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0621,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0653,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0893,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0901,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0915,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0921,TASK_001,GROUP_002,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0980,TASK_001,GROUP_002,critical,The deadline is within 2 days; a conflicting deadline was reported; the latest status is ambiguous.,deadline_within_2_days; conflicting_deadline_reported; status_unclear; response_required,0.64
MSG_0003,EVENT_002,GROUP_003,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0122,EVENT_002,GROUP_003,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0124,EVENT_002,GROUP_003,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0135,EVENT_002,GROUP_003,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0249,EVENT_002,GROUP_003,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0294,EVENT_002,GROUP_003,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0488,EVENT_002,GROUP_003,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0719,EVENT_002,GROUP_003,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0861,EVENT_002,GROUP_003,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0866,EVENT_002,GROUP_003,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0952,EVENT_002,GROUP_003,high,"The deadline is within 2 days; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_within_2_days; response_required; time_sensitive_meeting_category,0.73
MSG_0969,EVENT_002,GROUP_003,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0007,TASK_002,GROUP_004,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0287,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0301,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0365,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0366,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0418,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0451,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0779,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0784,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0853,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0902,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0922,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0994,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0997,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_1009,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_1012,TASK_002,GROUP_004,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0010,TASK_003,GROUP_005,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0265,TASK_003,GROUP_005,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0339,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0536,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0614,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0620,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0667,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0743,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0754,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0809,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0903,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0923,TASK_003,GROUP_005,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0990,TASK_003,GROUP_005,critical,The deadline has already passed; a conflicting deadline was reported; the latest status is ambiguous.,overdue; conflicting_deadline_reported; status_unclear; response_required,0.64
MSG_0011,EVENT_003,GROUP_006,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0034,EVENT_003,GROUP_006,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0222,EVENT_003,GROUP_006,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0255,EVENT_003,GROUP_006,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0378,EVENT_003,GROUP_006,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0430,EVENT_003,GROUP_006,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0660,EVENT_003,GROUP_006,high,"The deadline is today; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_today; response_required; time_sensitive_meeting_category,0.73
MSG_0683,EVENT_003,GROUP_006,high,"The deadline is today; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_today; response_required; time_sensitive_meeting_category,0.73
MSG_0841,EVENT_003,GROUP_006,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
