message_id,route,risk,sensitivity_types,recommended_action,reason
MSG_0001,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0002,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0003,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0004,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0005,ask_for_confirmation,medium,private_address,ask_for_confirmation,Contains medium-risk personal information (private_address); requires human confirmation before storage or further action.
MSG_0006,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0007,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0008,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0009,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0010,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0011,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0012,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0013,blocked,high,bank_or_payment_details,do_not_store,Contains high-risk sensitive information (bank_or_payment_details); blocked from any further/external processing.
MSG_0014,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0015,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0016,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0017,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0018,ask_for_confirmation,medium,health_information,ask_for_confirmation,Contains medium-risk personal information (health_information); requires human confirmation before storage or further action.
MSG_0019,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0020,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0021,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0022,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0023,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0024,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0025,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0026,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0027,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0028,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0029,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0030,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0031,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0032,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0033,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0034,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0035,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0036,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0037,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0038,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0039,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0040,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0041,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0042,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0043,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0044,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0045,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0046,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0047,blocked,high,authentication_token,do_not_store,Contains high-risk sensitive information (authentication_token); blocked from any further/external processing.
MSG_0048,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0049,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0050,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0051,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0052,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0053,blocked,high,personal_identification_number,do_not_store,Contains high-risk sensitive information (personal_identification_number); blocked from any further/external processing.
MSG_0054,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0055,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0056,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0057,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0058,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0059,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0060,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0061,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0062,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0063,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0064,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0065,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0066,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0067,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0068,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0069,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0070,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0071,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0072,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0073,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0074,blocked,high,authentication_token,do_not_store,Contains high-risk sensitive information (authentication_token); blocked from any further/external processing.
MSG_0075,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0076,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0077,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0078,ask_for_confirmation,medium,health_information,ask_for_confirmation,Contains medium-risk personal information (health_information); requires human confirmation before storage or further action.
MSG_0079,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0080,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0081,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0082,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0083,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0084,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0085,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0086,blocked,high,password,do_not_store,Contains high-risk sensitive information (password); blocked from any further/external processing.
MSG_0087,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0088,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0089,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0090,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
MSG_0091,process_locally,none,,process_locally,No sensitive information detected; safe to process locally with no restriction.
