item_id,type,title,description,deadline,time,person,priority,source_message_id
EVENT_001,event,Family dinner,Scheduled event: family dinner at the library.,2026-09-19,10:00,,low,MSG_0001
TASK_001,task,Review the privacy checklist,Action requested: review the privacy checklist.,2026-09-09,,,low,MSG_0002
EVENT_002,event,Mentor catch-up,Scheduled event: mentor catch-up at the city clinic.,2026-09-16,11:00,,low,MSG_0003
TASK_002,task,Reply to the client email,Action requested: reply to the client email.,2026-09-04,,,medium,MSG_0007
TASK_003,task,Pay the electricity bill,Action requested: pay the electricity bill.,2026-09-09,,,low,MSG_0010
EVENT_003,event,Internship orientation,Scheduled event: internship orientation at Conference Room 2.,2026-09-18,13:00,,low,MSG_0011
TASK_004,task,Renew the library book,Action requested: renew the library book.,2026-09-08,,,medium,MSG_0017
TASK_005,task,Review the model results,Action requested: review the model results.,2026-09-03,,,high,MSG_0019
EVENT_004,event,Team stand-up,Scheduled event: team stand-up at the college auditorium.,2026-09-04,15:00,,medium,MSG_0023
TASK_006,task,Confirm the interview slot,Action requested: confirm the interview slot.,2026-09-05,,,medium,MSG_0027
TASK_007,task,Email the signed document,Action requested: email the signed document.,2026-09-04,,,high,MSG_0028
TASK_008,task,Update the project tracker,Action requested: update the project tracker.,2026-09-04,,,high,MSG_0031
TASK_009,task,Upload the assignment,Action requested: upload the assignment.,2026-09-09,,,medium,MSG_0032
EVENT_005,event,Internship orientation,Scheduled event: internship orientation at Conference Room 2.,2026-09-18,9:00,,low,MSG_0034
TASK_010,task,Complete the onboarding form,Action requested: Complete the onboarding form.,2026-09-10,,,low,MSG_0035
EVENT_006,event,Study-group session,Scheduled event: study-group session at Google Meet.,2026-09-13,12:00,,low,MSG_0036
EVENT_007,event,Review (tentative),"Extracted from: ""The review could be Friday afternoon."" — date/time phrase (""Friday afternoon"") is relative/vague and was not resolved to an exact value.",unresolved,unresolved,,low,MSG_0037
TASK_011,task,Update the project tracker,Action requested: update the project tracker.,2026-09-08,,,medium,MSG_0038
TASK_012,task,Review the file,"Extracted from: ""review the file before the meeting."" — deadline phrase is relative/vague and was not resolved to an exact date.",unresolved,,,low,MSG_0041
EVENT_008,event,Client discussion,Scheduled event: client discussion at Meeting Room A.,2026-09-12,11:00,,low,MSG_0042
EVENT_009,event,Family dinner,Scheduled event: family dinner at the college auditorium.,2026-09-04,11:00,,high,MSG_0043
TASK_013,task,Complete the Python exercise,Action requested: complete the Python exercise.,2026-09-09,,,medium,MSG_0044
TASK_014,task,Complete the onboarding form,Action requested: Complete the onboarding form.,2026-09-07,,,medium,MSG_0045
TASK_015,task,Call the service centre,Action requested: call the service centre.,2026-09-09,,,medium,MSG_0046
EVENT_010,event,Product demo,Scheduled event: product demo at Zoom.,2026-09-07,10:00,,medium,MSG_0049
EVENT_011,event,Doctor appointment,Scheduled event: doctor appointment at the city clinic.,2026-09-16,15:00,,low,MSG_0051
EVENT_012,event,Review (tentative),"Extracted from: ""The review could be Friday afternoon."" — date/time phrase (""Friday afternoon"") is relative/vague and was not resolved to an exact value.",unresolved,unresolved,,low,MSG_0054
